Language,2-turns,3-turns,4-turns,5-turns,Total Multi-turn
C++,362,265,155,116,1155
C#,628,287,183,128,1432
Java,492,239,159,85,1121
JavaScript,661,310,189,147,1483
Python,3299,1487,937,624,7795
