File_Number,Iteration,Cluster Count,n_neighbors,min_dist,n_components,min_cluster_size,min_samples,c_v,u_mass,c_uci,c_npmi,relative_validity,outlier_scores_mean,outlier_scores_median,persistence_scores_mean,persistence_scores_median,noise_percentage
0,3,102,5,0.0,2,100,15,0.4327771338996862,-7.524046605666828,-3.931440902777059,,0.2465652800906199,0.1375462101276887,0.0308291279461863,0.144243428934367,0.1035864248596537,0.279490282622624
0,5,121,5,0.0,2,110,5,0.394917584720733,-8.79784825891583,-4.612476712979881,,0.172734270010079,0.1238918563474471,0.0228421568739647,0.1185504703809762,0.0808646130141549,0.257041835741914
0,10,100,5,0.0,2,120,10,0.4010851045249581,-8.500908113846785,-4.531317827549255,,0.2847141679652593,0.1210115606170402,0.0280957844746201,0.1053619889653517,0.077020107273855,0.2923518663534325
0,17,86,5,0.0,2,140,5,0.4145650556645853,-8.030565143887456,-4.596825338517867,,0.2353161894421588,0.1120849536264016,0.027273259995312,0.1212041402598947,0.0867482190626692,0.2892195249282172
0,41,55,5,0.0,2,200,5,0.4432810113050116,-9.03962964810559,-4.247853664700796,,0.2109121414094465,0.1041173504166729,0.029138794747951,0.1250048953112916,0.0882678150497313,0.2746019316105455
0,49,87,5,0.0,5,110,5,0.4507159628255542,-6.548017048334781,-3.4328787434035144,,0.1759369943079601,0.1394384318059698,0.0544564617296092,0.1345229695043612,0.109351612723445,0.2907856956408248
0,51,78,5,0.0,5,110,15,0.4363414866069144,-6.803929722269984,-3.541487065581856,,0.2170614760864327,0.1388793023270207,0.066310000112208,0.1629134065834379,0.1277164490206986,0.2873211361856624
0,55,73,5,0.0,5,120,15,0.4502765571068085,-6.5212392846948655,-3.553060171604021,,0.158057947172,0.1392004937047733,0.0559677307248084,0.1546568890796238,0.1153792210623093,0.293989226643886
0,74,49,5,0.0,5,170,10,0.4829084470346614,-6.124788285386738,-3.486953372216528,,0.2746528757928032,0.1449430846656634,0.0679081945378303,0.1737010041316901,0.1414153281825083,0.287463515341354
0,77,42,5,0.0,5,180,5,0.4877117475468592,-5.550033282289776,-3.213663303729052,,0.4222776208266491,0.1367763854365689,0.0664944737148577,0.1744446334405949,0.1345168045393171,0.2780664910657079
0,94,67,5,0.0,8,110,10,0.4689489101087848,-6.585070867645958,-3.105962169262852,,0.1855276976926215,0.1581536800891367,0.081455662269885,0.2044077248863212,0.1734636289363698,0.259604660544363
0,99,72,5,0.0,8,120,15,0.475844302808837,-6.055294231362347,-3.292842271730595,,0.2319141952308185,0.1442986529330462,0.0648486752001558,0.1998844564160398,0.1576475111754348,0.2993521748416032
0,103,65,5,0.0,8,130,15,0.4723442030999698,-6.056588736020196,-3.497737866616638,,0.2825913486492085,0.1420454372353677,0.0739923724356065,0.2034572114431282,0.1557735202293071,0.2843311739161386
0,105,62,5,0.0,8,140,5,0.4759837186003532,-6.237556821321128,-3.0804691367837784,,0.3018396142146641,0.1772535375349465,0.1005219422470225,0.172788101951171,0.1376764906116318,0.2957452362307491
0,107,60,5,0.0,8,140,15,0.4637136218586485,-6.218019803547755,-3.576541415011106,,0.1817539102627924,0.1437770954803697,0.0737062973188315,0.2017242731759357,0.1567913153019208,0.2947960418594718
0,117,48,5,0.0,8,170,5,0.4759881129713608,-5.649390234683216,-3.420779882026527,,0.2045624599064847,0.1516986595515033,0.0739693423713073,0.2069952904084526,0.1798329480480194,0.2992097956859116
0,138,93,10,0.0,2,110,10,0.4503784840495076,-7.180378239108292,-3.9546515873905577,,0.3557617554978028,0.1147759581079907,0.0311865347155343,0.0192337951524588,0.0068569775791395,0.2782800597992454
0,139,92,10,0.0,2,110,15,0.4453211439076784,-7.23542319452402,-3.8777553225582793,,0.2849593625028,0.1139253700439952,0.0312239159491725,0.0200359744111719,0.0070991674661537,0.2927790038205073
0,149,77,10,0.0,2,140,5,0.4649322855121899,-6.794897125663434,-3.749655231664324,,0.2830524983319042,0.1138706044151276,0.0364445415446486,0.0268631991896054,0.0113186993912524,0.2592724425144159
0,150,80,10,0.0,2,140,10,0.4561722045686934,-7.27214770931515,-3.943283621767799,,0.3234914045704206,0.1087375635899921,0.0303114678862076,0.0292042627438474,0.0126267769194804,0.2842362544790109
0,154,74,10,0.0,2,150,10,0.4669319613688229,-7.23756111764895,-3.865776963102773,,0.2992739060122566,0.105060909951212,0.0310516045621332,0.0406032015515346,0.016830648625968,0.2922094871977409
0,254,39,10,0.0,8,180,10,0.5153009712461005,-5.3869638776827085,-3.407075269160177,,0.1871499460341602,0.1250780931021856,0.0568127767530562,0.1678200881628436,0.1184150298656175,0.2985690894852993
0,297,45,15,0.0,2,180,5,0.483124320499147,-5.935598907029435,-3.820699376953765,,0.1666497135383494,0.1209755370591775,0.0473050057991156,0.1015559297240524,0.0652966651422153,0.2606250444934861
0,298,42,15,0.0,2,180,10,0.5161677303922908,-5.731926985451672,-3.524426861688155,,0.2834132832843549,0.1033712527383801,0.0367260240289593,0.1002542035920033,0.0607123589091139,0.2506347737357917
0,301,44,15,0.0,2,190,5,0.4852041925037427,-5.894376238369168,-3.7483766890675136,,0.1666003643928093,0.1178470804338293,0.0444189324693488,0.1425905104627733,0.1038774498869823,0.2649676087420801
0,302,41,15,0.0,2,190,10,0.5060078360322171,-5.850668962640372,-3.61844952757289,,0.2880723773845393,0.1048126668313886,0.0333328362582581,0.155442205816562,0.1121828801030712,0.2550959872807954
0,306,38,15,0.0,2,200,10,0.511828964836373,-5.70849072799883,-3.448992138166778,,0.5250977512229738,0.1136019812963631,0.0370537373166148,0.1531335101601134,0.1129035142285729,0.2477160010441138
0,336,4,15,0.0,5,160,20,0.6322074980385323,-1.3729766568244424,-1.8468807286661144,,0.1037888163082287,0.1496924901605825,0.0636549869191231,0.3094101178487238,0.0355527666825153,0.0004271374670748
0,340,4,15,0.0,5,170,20,0.6322074980385323,-1.3729766568244424,-1.8468807286661144,,0.1037888163082287,0.1489790021913198,0.0694851932920848,0.3344894886665226,0.04550845441899,0.0004271374670748
0,343,4,15,0.0,5,180,15,0.6322074980385323,-1.3729766568244424,-1.8468807286661144,,0.1060913945279193,0.1379253681434503,0.0630101932716763,0.3752769021682258,0.0864270892236553,0.0004271374670748
0,344,4,15,0.0,5,180,20,0.6322074980385323,-1.3729766568244424,-1.8468807286661144,,0.1037888163082287,0.1540802598252876,0.079494350108148,0.3772807242129301,0.089508926180994,0.0004271374670748
0,347,2,15,0.0,5,190,15,0.6343136758386257,-1.3129634809720327,-1.5361474927463925,,0.3068737681398696,0.1381162145746448,0.0605561764907975,0.4611915260421145,0.4611915260421145,0.0
0,348,2,15,0.0,5,190,20,0.6343136758386257,-1.3129634809720327,-1.5361474927463925,,0.306506206365868,0.1572346106770098,0.0805816158826965,0.4953211889433334,0.4953211889433334,0.0
0,351,2,15,0.0,5,200,15,0.6343136758386257,-1.3129634809720327,-1.5361474927463925,,0.3068737681398696,0.1421000389061687,0.0606194229883139,0.2557362078136698,0.2557362078136698,0.0
0,352,2,15,0.0,5,200,20,0.6343136758386257,-1.3129634809720327,-1.5361474927463925,,0.306506206365868,0.1587454942875605,0.0854376065883943,0.2652707782798443,0.2652707782798443,0.0
5,1,474,5,0.0,2,30,5,0.429159305788206,-7.298050272196445,-2.572199532892387,,0.2565165523963279,0.1554275227325091,0.0169578645078727,0.0186071249996346,0.0079197580853703,0.2194300087800479
5,2,407,5,0.0,2,30,10,0.4271645721878835,-7.110204945834416,-2.767303283066448,,0.2411985928166741,0.1676256082290882,0.034011182273224,0.020476860086971,0.0084563877293111,0.2265489665646282
5,3,385,5,0.0,2,30,15,0.4323339543456783,-7.277336432720587,-2.931100146986676,,0.2407177608803212,0.156217851775101,0.0299198294333379,0.0215405774385851,0.0090268119825459,0.2749578794997745
5,5,333,5,0.0,2,40,5,0.4058225594127541,-7.765113996008664,-3.212835572375433,,0.2548966689960845,0.1605967525768442,0.02402667596228,0.0285821187176106,0.0146273515658115,0.2280202178401082
5,6,306,5,0.0,2,40,10,0.4062550586609674,-7.744455941925674,-3.190717908874245,,0.2487615136418527,0.1544939903196073,0.0281412472110567,0.0306459814773996,0.0165181590302554,0.2521060250112716
5,7,294,5,0.0,2,40,15,0.4151698045670099,-7.468362701150242,-3.0400742416827016,,0.2774980318161465,0.1387238594640329,0.0268565715862653,0.0219369637312867,0.0120348476075363,0.2858261550509005
5,9,277,5,0.0,2,50,5,0.4062552060005448,-7.849717118852715,-3.2196000317388505,,0.2067578268695323,0.1461262866840776,0.0239329759941458,0.0199155537788779,0.0104972999783155,0.2703542867990793
5,10,252,5,0.0,2,50,10,0.4299664842616364,-7.539545237014134,-3.25895817436091,,0.2391112972593035,0.1364661582627525,0.0279545341121918,0.0264469106982445,0.0144119177282621,0.2514890486699414
